魚種,型,演出,釣り上げ動作時間,隠し判定,トレード可否
エレクトロベタ,小型,!,5,0,1
サンダーレッド,小型,!,5,0,1
ヤースラニボウフィン,大型,!!,10,0,1
ヘリテージグルーパー,大型,!!!,12,0,0
ゴールデングルーパー,大型,!!,10,1,1
ライトニングボール,大型,!!!,12,0,0
テスト小型1,小型,!,5,0,1
テスト小型2,小型,!,5,0,1
テスト大型1,大型,!!,10,0,1
テスト大型2,大型,!!,10,0,1
理王魚,小型,!,5,0,1
縦笛魚,大型,!!,10,0,1
ブルーパース,大型,!!,10,0,1
金の鉾,大型,!!,10,0,1
リッチパース,大型,!!!,12,0,0
カナル北小型,小型,!,5,0,0
忘れられた魚,大型,!!,10,0,1
カッパーシャーク,大型,!!,10,1,1
ブライトカッパーシャーク,大型,!!!,12,0,1
ポニーテールチャプ,小型,!,5,0,1
ニーケレピトラウト,大型,!!,10,0,1
トレイルトラウト,大型,!!,10,0,1
トーリ・サッカー,大型,!!,10,0,1
トラパドルフィッシュ,大型,!!,10,0,1
マッドフィッシュ,小型,!,5,0,1
ヤクテルキャットフィッシュ,大型,!!,10,0,1
ヴァリタス,小型,!,5,0,1
星粒魚,大型,!!,10,0,1
トゥルーソーサー,大型,!!,10,0,1
