データ種別,釣り場,データ
天気 / 時間,カナルタウン北,曇り→霧8-13
餌,カナルタウン北,ゴーストニッパー
魚種,カナルタウン北,カナル北小型
魚種,カナルタウン北,忘れられた魚
魚種,カナルタウン北,カッパーシャーク
魚種,カナルタウン北,ブライトカッパーシャーク
天気 / 時間,アレクサンドリア旧市街,霧晴れ12-16
天気 / 時間,アレクサンドリア旧市街,雷雨放電2-4
天気 / 時間,アレクサンドリア旧市街,ヌシ以外
餌,アレクサンドリア旧市街,紅サシ
餌,アレクサンドリア旧市街,ポッパールアー
魚種,アレクサンドリア旧市街,エレクトロベタ
魚種,アレクサンドリア旧市街,サンダーレッド
魚種,アレクサンドリア旧市街,ヤースラニボウフィン
魚種,アレクサンドリア旧市街,ヘリテージグルーパー
魚種,アレクサンドリア旧市街,ゴールデングルーパー
魚種,アレクサンドリア旧市街,ライトニングボール
天気 / 時間,テスト釣り場1,天気1
餌,テスト釣り場1,テストルアー1
魚種,テスト釣り場1,テスト小型1
魚種,テスト釣り場1,テスト小型2
魚種,テスト釣り場1,テスト大型1
魚種,テスト釣り場1,テスト大型2
天気 / 時間,満ちた玄関,曇り雨16-18
天気 / 時間,満ちた玄関,それ以外
餌,満ちた玄関,ゴーストニッパー
魚種,満ちた玄関,理王魚
魚種,満ちた玄関,縦笛魚
魚種,満ちた玄関,ブルーパース
魚種,満ちた玄関,金の鉾
魚種,満ちた玄関,リッチパース
天気 / 時間,トーリ湖,任意
餌,トーリ湖,ポッパールアー
餌,トーリ湖,万能ルアー
魚種,トーリ湖,ポニーテールチャプ
魚種,トーリ湖,ニーケレピトラウト
魚種,トーリ湖,トレイルトラウト
魚種,トーリ湖,トーリ・サッカー
魚種,トーリ湖,トラパドルフィッシュ
