釣り場,天気 / 時間,餌,魚種,基礎重み,基礎待機時間min,基礎待機時間max
カナルタウン北,曇り→霧8-13,ゴーストニッパー,カナル北小型,300,8,14
カナルタウン北,曇り→霧8-13,ゴーストニッパー,忘れられた魚,100,12,14
カナルタウン北,曇り→霧8-13,ゴーストニッパー,カッパーシャーク,0,20,30
カナルタウン北,曇り→霧8-13,ゴーストニッパー,ブライトカッパーシャーク,5,20,20
アレクサンドリア旧市街,霧晴れ12-16,紅サシ,エレクトロベタ,200,7,13
アレクサンドリア旧市街,霧晴れ12-16,紅サシ,サンダーレッド,200,8,16
アレクサンドリア旧市街,霧晴れ12-16,紅サシ,ヤースラニボウフィン,160,6,20
アレクサンドリア旧市街,霧晴れ12-16,紅サシ,ヘリテージグルーパー,0,0,0
アレクサンドリア旧市街,霧晴れ12-16,紅サシ,ゴールデングルーパー,0,16,31
アレクサンドリア旧市街,霧晴れ12-16,ポッパールアー,エレクトロベタ,150,4,18
アレクサンドリア旧市街,霧晴れ12-16,ポッパールアー,サンダーレッド,150,5,19
アレクサンドリア旧市街,霧晴れ12-16,ポッパールアー,ヤースラニボウフィン,150,5,24
アレクサンドリア旧市街,霧晴れ12-16,ポッパールアー,ヘリテージグルーパー,2,22,31
アレクサンドリア旧市街,霧晴れ12-16,ポッパールアー,ゴールデングルーパー,0,19,33
アレクサンドリア旧市街,雷雨放電02-04,紅サシ,エレクトロベタ,200,7,13
アレクサンドリア旧市街,雷雨放電02-04,紅サシ,サンダーレッド,200,8,16
アレクサンドリア旧市街,雷雨放電02-04,紅サシ,ヤースラニボウフィン,150,6,20
アレクサンドリア旧市街,雷雨放電02-04,紅サシ,ライトニングボール,10,25,25
アレクサンドリア旧市街,雷雨放電02-04,紅サシ,ゴールデングルーパー,0,16,31
アレクサンドリア旧市街,ヌシ以外,紅サシ,エレクトロベタ,200,7,13
アレクサンドリア旧市街,ヌシ以外,紅サシ,サンダーレッド,200,8,16
アレクサンドリア旧市街,ヌシ以外,紅サシ,ヤースラニボウフィン,150,6,20
アレクサンドリア旧市街,ヌシ以外,紅サシ,ヘリテージグルーパー,0,0,0
アレクサンドリア旧市街,ヌシ以外,紅サシ,ゴールデングルーパー,0,16,31
アレクサンドリア旧市街,ヌシ以外,ポッパールアー,エレクトロベタ,150,4,18
アレクサンドリア旧市街,ヌシ以外,ポッパールアー,サンダーレッド,150,5,19
アレクサンドリア旧市街,ヌシ以外,ポッパールアー,ヤースラニボウフィン,150,5,24
アレクサンドリア旧市街,ヌシ以外,ポッパールアー,ヘリテージグルーパー,0,0,0
アレクサンドリア旧市街,ヌシ以外,ポッパールアー,ゴールデングルーパー,0,19,33
テスト釣り場1,天気1,テストルアー1,テスト小型1,200,10,15
テスト釣り場1,天気1,テストルアー1,テスト小型2,200,15,20
テスト釣り場1,天気1,テストルアー1,テスト大型1,100,15,20
テスト釣り場1,天気1,テストルアー1,テスト大型2,100,20,25
満ちた玄関,それ以外,ゴーストニッパー,理王魚,25,10,18
満ちた玄関,それ以外,ゴーストニッパー,縦笛魚,25,11,18
満ちた玄関,それ以外,ゴーストニッパー,ブルーパース,25,15,27
満ちた玄関,それ以外,ゴーストニッパー,金の鉾,25,18,31
満ちた玄関,曇り雨16-18,ゴーストニッパー,理王魚,25,10,18
満ちた玄関,曇り雨16-18,ゴーストニッパー,縦笛魚,25,9,18
満ちた玄関,曇り雨16-18,ゴーストニッパー,ブルーパース,25,14,27
満ちた玄関,曇り雨16-18,ゴーストニッパー,金の鉾,25,18,31
満ちた玄関,曇り雨16-18,ゴーストニッパー,リッチパース,3,21,26
トーリ湖,任意,ポッパールアー,ポニーテールチャプ,153,7.5,13.5
トーリ湖,任意,ポッパールアー,ニーケレピトラウト,128,10.5,19.5
トーリ湖,任意,ポッパールアー,トレイルトラウト,138,9,16.5
トーリ湖,任意,ポッパールアー,トーリ・サッカー,65,15,25.5
トーリ湖,任意,ポッパールアー,トラパドルフィッシュ,16,21.5,31.5
トーリ湖,任意,万能ルアー,ポニーテールチャプ,165,10.4,16.5
トーリ湖,任意,万能ルアー,ニーケレピトラウト,138,13.5,22.5
トーリ湖,任意,万能ルアー,トレイルトラウト,91,12,19.5
トーリ湖,任意,万能ルアー,トーリ・サッカー,74,17,27.5
トーリ湖,任意,万能ルアー,トラパドルフィッシュ,32,21.5,33
